"year","region","pop","pop.lb","pop.ub"
2015,"EU",503.709911136259,503.709911136259,503.709911136259
2015,"US",317.53104237015,317.53104237015,317.53104237015
2015,"OT",276.855754143983,276.855754143983,276.855754143983
2015,"EE",307.462743655887,307.462743655887,307.462743655887
2015,"CA",1551.02200665211,1551.02200665211,1551.02200665211
2015,"IA",2212.91448849031,2212.91448849031,2212.91448849031
2015,"AF",1322.8725553904,1322.8725553904,1322.8725553904
2015,"LA",608.727162928675,608.727162928675,608.727162928675
2020,"EU",499.192812787221,499.192812787221,499.192812787221
2020,"US",321.840922039191,321.840922039191,321.840922039191
2020,"OT",280.054274709828,280.054274709828,280.054274709828
2020,"EE",311.946886151521,311.946886151521,311.946886151521
2020,"CA",1591.77016171282,1591.77016171282,1591.77016171282
2020,"IA",2386.28701297446,2386.28701297446,2386.28701297446
2020,"AF",1504.75725059871,1504.75725059871,1504.75725059871
2020,"LA",653.513869333021,653.513869333021,653.513869333021
2030,"EU",478.618568257525,478.618568257525,478.618568257525
2030,"US",321.840922039191,321.840922039191,321.840922039191
2030,"OT",278.936071852454,278.936071852454,278.936071852454
2030,"EE",315.710527764904,315.710527764904,315.710527764904
2030,"CA",1630.38788409787,1630.38788409787,1630.38788409787
2030,"IA",2701.92317599763,2701.92317599763,2701.92317599763
2030,"AF",1907.50643191923,1907.50643191923,1907.50643191923
2030,"LA",744.351319322712,744.351319322712,744.351319322712
2040,"EU",450.664539776986,450.664539776986,450.664539776986
2040,"US",315.145775650218,315.145775650218,315.145775650218
2040,"OT",271.223539290552,271.223539290552,271.223539290552
2040,"EE",317.927475886972,317.927475886972,317.927475886972
2040,"CA",1620.63192686169,1620.63192686169,1620.63192686169
2040,"IA",2969.86172522677,2969.86172522677,2969.86172522677
2040,"AF",2371.23703316144,2371.23703316144,2371.23703316144
2040,"LA",829.583160646744,829.583160646744,829.583160646744
2050,"EU",415.881985586989,415.881985586989,415.881985586989
2050,"US",300.94550024351,300.94550024351,300.94550024351
2050,"OT",259.78403031886,259.78403031886,259.78403031886
2050,"EE",324.020007799101,324.020007799101,324.020007799101
2050,"CA",1582.15415123753,1582.15415123753,1582.15415123753
2050,"IA",3206.62973121255,3206.62973121255,3206.62973121255
2050,"AF",2916.13084874962,2916.13084874962,2916.13084874962
2050,"LA",907.343203105922,907.343203105922,907.343203105922
2075,"EU",321.040161667857,321.040161667857,321.040161667857
2075,"US",254.389241792561,254.389241792561,254.389241792561
2075,"OT",221.81693278644,221.81693278644,221.81693278644
2075,"EE",335.553292630905,335.553292630905,335.553292630905
2075,"CA",1427.71691321045,1427.71691321045,1427.71691321045
2075,"IA",3578.62684914477,3578.62684914477,3578.62684914477
2075,"AF",4477.47448419329,4477.47448419329,4477.47448419329
2075,"LA",1069.53436117521,1069.53436117521,1069.53436117521
2100,"EU",249.711894970214,249.711894970214,249.711894970214
2100,"US",203.439670767171,203.439670767171,203.439670767171
2100,"OT",190.35397960516,190.35397960516,190.35397960516
2100,"EE",360.746633980624,360.746633980624,360.746633980624
2100,"CA",1331.06373178257,1331.06373178257,1331.06373178257
2100,"IA",3780.73620437493,3780.73620437493,3780.73620437493
2100,"AF",6168.75323754322,6168.75323754322,6168.75323754322
